Species	Chemical Name	"Freq-GHz(rest frame,redshifted)"	"Freq Err(rest frame,redshifted)"	"Meas Freq-GHz(rest frame,redshifted)"	"Meas Freq Err(rest frame,redshifted)"	Resolved QNs	Log<sub>10</sub> (A<sub>ij</sub>)	CDMS/JPL Intensity	E_U (K)	Linelist
H2CS	Thioformaldehyde			309.37444580	5E-05	"9(2,7)-8(2,6)"	-3.37467	-2.77970	126.87698	CDMS
H2CS	Thioformaldehyde			313.71664790	5E-05	"9(1,8)-8(1,7)"	-3.33990	-2.21810	88.46551	CDMS
H2CS	Thioformaldehyde			338.08319530	5E-05	"10(1,10)-9(1,9)"	-3.23911	-2.12570	102.43204	CDMS
H2CS	Thioformaldehyde			342.94642390	5E-05	"10(0,10)-9(0,9)"	-3.21610	-2.56870	90.59115	CDMS
H2CS	Thioformaldehyde			343.20323920	5E-05	"10(5,6)-9(5,5)"	-3.34004	-2.69150	419.17248	CDMS
H2CS	Thioformaldehyde			343.20323920	5E-05	"10(5,6)-9(5,5)"	-3.34004	-2.69150	419.17248	CDMS
H2CS	Thioformaldehyde			343.30982960	5E-05	"10(4,7)-9(4,6)"	-3.29045	-2.94820	301.07181	CDMS
H2CS	Thioformaldehyde			343.30982960	5E-05	"10(4,7)-9(4,6)"	-3.29045	-2.94820	301.07181	CDMS
H2CS	Thioformaldehyde			343.32208190	5E-05	"10(2,9)-9(2,8)"	-3.23243	-2.66180	143.30653	CDMS
H2CS	Thioformaldehyde			343.40996250	5E-05	"10(3,8)-9(3,7)"	-3.25530	-2.30290	209.09441	CDMS
H2CS	Thioformaldehyde			343.41414630	5E-05	"10(3,7)-9(3,6)"	-3.25530	-2.30290	209.09476	CDMS
H2CS	Thioformaldehyde			343.81316830	5E-05	"10(2,8)-9(2,7)"	-3.23052	-2.66060	143.37729	CDMS
H2CS	Thioformaldehyde			348.53436470	5E-05	"10(1,9)-9(1,8)"	-3.19946	-2.10290	105.19248	CDMS
H2CS	Thioformaldehyde	369.56951260	2.65E-05			"22(2,20)-23(0,23)"	-6.84447	-6.44790	470.71362	CDMS
H2CS	Thioformaldehyde			371.84739510	5E-05	"11(1,11)-10(1,10)"	-3.11243	-2.02550	120.27774	CDMS
H2CS	Thioformaldehyde	377.10928240	3.1E-06			"11(0,11)-10(0,10)"	-3.09057	-2.46990	108.68935	CDMS
H2CS	Thioformaldehyde	377.51077550	2.9E-06			"11(5,7)-10(5,6)"	-3.18964	-2.56800	437.29000	CDMS
H2CS	Thioformaldehyde	377.51077560	2.9E-06			"11(5,6)-10(5,5)"	-3.18964	-2.56800	437.29000	CDMS
H2CS	Thioformaldehyde	377.61770010	3E-06			"11(2,10)-10(2,9)"	-3.10335	-2.55960	161.42923	CDMS
H2CS	Thioformaldehyde	377.63089170	2.9E-06			"11(4,8)-10(4,7)"	-3.15035	-2.83500	319.19516	CDMS
H2CS	Thioformaldehyde	377.63091820	2.9E-06			"11(4,7)-10(4,6)"	-3.15035	-2.83500	319.19516	CDMS
H2CS	Thioformaldehyde	377.74667060	2.9E-06			"11(3,9)-10(3,8)"	-3.12188	-2.19640	227.22326	CDMS
H2CS	Thioformaldehyde	377.75347560	2.9E-06			"11(3,8)-10(3,7)"	-3.12187	-2.19640	227.22401	CDMS
H2CS	Thioformaldehyde	378.27167900	3E-06			"11(2,9)-10(2,8)"	-3.10107	-2.55820	161.53140	CDMS
H2CS	Thioformaldehyde	383.33913090	3.1E-06			"11(1,10)-10(1,9)"	-3.07272	-2.00340	123.58968	CDMS
H2CS	Thioformaldehyde	394.00944070	2.61E-05			"21(2,19)-22(0,22)"	-6.78631	-6.38370	434.28749	CDMS
